,TOPICS,BODY
815,'acq',reid ashman said decided divest test products division located santa clara company said entertain offers march also said steven reid company founder president test division made offer purchase unit companys test division accounted total revenues year ended sept currently running revenue rate dlrs year said reuter 
756,'acq',magellan corp said entered letter intent acquire balzac investments transaction result former balzac shareholders owning combined company company said completion merger combined company wopuld known power cell engaged development balzac technology related quick charge product charging auto batteries transaction subject approval shareholders companies reuter 
910,'acq',buffton corp said completed purchase industruments dlrs cash shares common stock said private company headquartered kansas sales dlrs buffton said company designs manufactures aviation computer display systems engine instrumentation reuter 
11701,'acq',rooter corp said rescinded recent agreement calling united western energy corp majority rooters stock four dlrs share company said also demanded repayment loan made united western since announcing agreements rooter said discovered additional information relating united western unaffiliated privately held corporation guaranteed united westerns obligations agreements rooter said agreements rescinded light additional information without providing details said talks progress united western regard repayment terms loan reuter 
1557,'acq',wichita industries said agreed fountain wichita said acquire outstanding shares fountain exchange newly issued wichita common shares wichita presently shares outstanding transaction calls issuance shares wichita common outstanding fountain share wichita also said made number refinancing agreements connection acquisition reuter 
6443,'acq',federal reserve board governor robert heller said banking system could strengthened permitting formation financial services holding companies involved areas like banking insurance real estate securities speech prepared delivery york bank financial analysts association heller said believe increased diversification along geographic product lines strengthening american banking system said supported idea financial services holding companies advocated association bank holding companies regulation various bank thrift insurance investment securities real estate subsidiaries would handled functional lines limits would placed extension credit bank associated institutions transactions would arms length basis heller said measures would necessary avoid abuse banks special position holding companies subsidiaries heller said would require holding company serve source strength bank making commitment maintain banks capital words bank would allowed fail long holding company positive worth heller also said commercial enterprises permitted financial services holding company provision capital would flow financial enterprise necessary heller said effects actions would banks least strong corporations holding customer deposits assured incentive loot bank removed diversification would give access national international financial services corporations across united states heller said would mean steady decline americas banks world financial league tables would arrested permitting become competitive reuter 
13012,'acq',york based prospect group prosz said acquired shares brinkmann instruments common stock scientific instrument makers common stock outstanding filing securities exchange commission prospect group said bought brinkmann shares open market transactions august october dlrs dlrs total dlrs prospect group said bought stock establish significant minority equity interest company intend seek control brinkmann present time prospect group said review investment objectives regarding brinkmann warranted market conditions companys performance factors including discussions brinkmann management reuter 
1817,'acq',continental federal savings loan association said told estate holding stock plans sell stake premium current stock price continental said estate harold vernon certain parties signed letter intent sell stock dlrs share total dlrs continentals stock closed seven counter trading thrift said buyer corporation acting certain unindentified parties reuter 
12427,'acq',brands said completed acquisition vernors united brands cash stock transaction worth valued dlrs reuter 
3266,'acq',european commission president jacques delors quoted monde newspaper said favoured franco german candidate take generale constructions telephoniques stake french public telephone switching market wish european solution enable germany france move closer together currently necessary quoted saying given situtation european community importance future connunications audiences cooperation already undertaken community level seems best choice delors added five groups including alliance west germanys siemens sieg frances schneider schn subsidiary jeumont schneider applied frances second largest telephone switching firm french privatisation foreign companies restricted stake privatised companies reuter 
6652,'acq',brierley investments launched full takeover supermarket group progressive enterprises dlrs share said statement offer conditional minimum acceptances totalling shares progressive shares issue progressive currently involved proposed merger rainbow corp rainbow earlier week raised stake progressive opposes rainbow merger analysts needs stake progressive prevent occurring merger involves shareholders progressive rainbow receiving shares company astral pacific corp exchange basis higher dlrs said would offer first announced monday would make full progressive follows much public debate rainbow chief executive paul collins said last week opposes rainbow progressive merger sees progressive shares worth twice much rainbows disclosed many progressive shares holds rainbow said merger soundly based chairman allan hawkins said last week bils actions aimed dirsrupting merger interests progressive shareholders rainbows progressives boards approved merger proposal also approved commerce commission bils still subject commissions scrutiny progressive shares ended dlrs rainbow close zealand stock exchange trading today reuter 
6767,'acq',plaza group said completed transaction merged wholly owned subsidiary flyfaire international shefra public company return controlling interest shefra completion merger shefra changed name flyfaire international flyfaire annual sales dlrs engaged wholesale vacation travel business reuter 
12179,'acq',pharmaceuticals said purchased remaining shares viratek vira owned eastman kodak owned part previously announced program company said paid kodak dlrs share dlrs previously announced also said authorized additional purchase shares viratek common date said bought total shares viratek including shares purchased kodak company said owns viratek result transactions reuter 
8428,'acq',canrad said acquired measurement systems division page wilson corp undisclosed amount cash canrad said acquisition expected increase annual revenues dlrs reuter 
11418,'acq',corp british west indies investment firm told securities exchange commission raised stake france fund shares total shares said bought france fund common shares april june prices ranging dlrs share reuter 
10156,'acq',quest resources said make takeover offer acquire shares northair mines basis quest share plus shares northair quest said plans bring northairs willa mine nelson area british columbia production using quests recently acquired mill located area reuter 
5032,'acq',american cablesystems corp said agreed principal cable television system angeles county heritage communications dlrs company said system purchased serves subscribers towns compton south monte hawaiian gardens communities willowbrook athens firestone florence east compton said acquisition bring seven number cable systems owns manages agreed angeles area reuter 
7950,'acq',campeau corp edward debartolo corp closed previously announced purchase five regional shopping centers allied stores corp campeau said debartolo association hold ownership interest shopping centers campeau separately announced required bank agreement contributed additional dlrs capital allied campeau acquired allied stores corp earlier year company said reuter 
1999,'acq',appeal buitoni court ruling accord acquire italian state food firm societa meridionale finanziaria contractually binding rejected court officials said appeal court rejected buitonis claim billion lire accord state industrial company istituto ricostruzione industriale binding contract decision upholds court ruling last july buitoni controlled compagnie industriali riunite investment company controlled olivetti oliv chairman carlo benedetti reuter 
3414,'acq',thermo electron corp said entered talks underwriters possible public sale minority interest packaged cogeneration systems subsidiary tecogen company also said plans offer convertible subordinated debentures publicly gave details reuter 
5998,'acq',reuters holdings rtrs said agreed principle sharp associates toronto sharp time sharing network database company specialising finance economics energy aviation operates global packet switching network global limits systems foreign exchange trading sharp shareholders offered cash shares mixture settlement acquisition subject canadian government approval would amalgamation specially created company reuters said given options number sharp shareholders covering common stock pending completion reuters review company sharp operates offices countries reported revenue canadian dlrs pretax loss compared profit however sharp said internal accounts showed company profit first months assets totalled dlrs reuters statement said acquisition would perfectly package banking securities industries reuter 
5443,'acq',rexham corp maker packaging materials machinery said received unsolicited offer dlrs share nortek nortek providence textile manufacturer disclosed holds rexham shares outstanding company said rexham said welcome proposal added board study offer respond course nortek proposed paying half cash half nortek convertible preferred stock rexham shares outstanding cash portion would include amount previously paid rexham stake terms convertible preferred stock would negotiated company said rexham said received takeover offer letter nortek reuter 
5580,'acq',norcros ncro building products packaging group said board hesitation unanimously rejecting mornings williams holdings industrial holding firm company said williams share offer unsolicited unwelcome significantly undervalues norcros norcros shares quoted yesterdays close williams higher norcros boards detailed views sent shareholders formal offer document issued williams reuter 
3616,'acq',schlumberger said terminated agreement principle fujitsu fairchild semiconductor operations company said rising political controversy concerning venture made unlikely sale fairchild stake could completed within reasonable time sale opposed commerce department defense department part national security grounds company said termination agreement opened possibilities including possible leveraged buyout semiconductor maker fairchild management interim fairchild would continue ongoing business within schlumberger oilfield services concern said last october schlumberger announced sale fairchild stake said would take dlrs charge fourth quarter sale company ended recording special charges billion dlrs fourth quarter leading loss billion dlrs year schlumberger never announced price sale industry analysts estimated value deal dlrs proposed sale antitrust review justice department additionally commerce secretary malcolm baldridge officials voiced reservations transaction since announced government officials expressed concern sale could reduce competitiveness chip makers putting advanced technology japanese hands high technology semiconductors used supercomputers faster powerful existing computers schlumberger oilfield services company controlled french interests headquartered york fujitsu computer telecommunications company based japan reuter 
639,'acq',video display corfp said reached tentiative agreement sell existing cable television business undisclosed terms expects report gain transaction buyer named company said redeploy service assets manufacturing distribution said operations sold accounted five revenues year ended february lost money reuter 
11672,'acq',swedens sandvik svik diamant boart belgium societe generale belgique belb holds indirect stake finalised negotiations merging drilling tool activities officials companies said staffan paues president brussels based joint venture company diamant boart stratabit told news conference merged firm would able offer products types drilling operations said already signs slow recovery recession industries stability prices lead renewed investment paues said paues said began operations today brings together sandviks wholly owned subsidiary strata corp houston diamant boarts petroleum activities europe north america middle east africa paues said merger direct result sharp fall prices months firms back exploration activities officials said complementary character firms operations reason reuter 
4706,'acq',radio corp said signed seven year agreement provide rite corp store customized disc jocky hosted radio programs resulting increase total number stores contract value disclosed reuter 
918,'acq',marine midland banks said acquired customer account base york discount brokerage firm ovest financial services undisclosed terms expand discount brokerage operations northeastern said combine ovests activities marine midland brokerage service unit reuter 
5481,'acq',quaker oats said keystone partners purchased vernells fine candies previously indirect subsidiary quaker price disclosed said vernells based bellevue wash annual sales exceeding dlrs vernells acquired quaker acquisition golden grain macaroni august reuter 
8620,'acq',cyacq corp said terminated february tender offer cyclops corp cyacq unsuccessfully dixons group control cyclops march dixons group acquired stock increased tender offer reuter 
2872,'acq',defense secretary caspar weinberger join commerce secretary malcolm baldrige fighting fujitsu ltds itsu plan fairchild semiconductor corp pentagon officials said weinberger opposes best interests country micro electronics business leaving united states pentagon officials asked identified told reuters commerce department officials told reuters yesterday baldrige opposed planned sale white house economic policy council take matter within weeks commerce defense officials said baldrige weinberger feared military already leaning heavily foreign electronic support defense department also said today weinberger baldrige differed proposed sale computer equipment iran commerce department advised pentagon recently defense objections proposed sales iranian power company islamic republic iran news agency valid sales small medium computers would unless evidence presented reuter 
4915,'acq',universal resources corp said holding special shareholders meeting morning vote previously proposed merger questar corp universal whose stock delayed morning american stock exchange said release statement later vote reuter 
10235,'acq',finance minister michael wilson said early comment implications transcanada pipelines ltds billion offer dome petroleum specific offer transcanada course made dont details elements proposal wilson told house commons daily question period opposition parties questioning wilson possible loss revenue takeover completed large credits held dome reuter 
4777,'acq',cineplex odeon corp said agreed principle acquire walter reade organization york cinema chain coca cola entertainment holdings unit dlrs cineplex said purchase price consisted dlrs cash cineplex common shares transaction subject fulfilment certain unspecified conditions regulatory board approvals walter reade operates screens eight manhattan locations reuter 
6211,'acq',hollinger said owned daily telegraph london agreed form joint venture printing company manchester england news international financial terms undisclosed said deal involved news internationals acquisition stake telegraphs trafford park printing subsidiary joint company continue print northern editions telegraph sunday telegraph spare capacity used print news world arrangement significantly telegraph costs hollinger said reuter 
4776,'acq',york investor george soros investment fund controls said raised stake king world productions shares total outstanding shares filing securities exchange commission soros said group bought king world common shares march prices ranging fropm dlrs share reuter 
9807,'acq',bevis industries seeking acquired said recently received inquiries concerning purchase company company identify parties made inquiries said referred investment bankers tucker anthony study march company said engaged tucker anthony seek purchasers operating units greenville tube corp pneumatics reuter 
1508,'acq',unicorp american corp said signed definitive agreement acquire lincoln savings bank terms agreement announced january lincoln would acquired unit unicorp minority owned lincoln president alton marshall acquisition take place voluntary conversion lincoln federally chartered stock savings bank mutual federal savings bank connection conversion unicorp contribute dlrs cash lincoln reuter 
1026,'acq',nusource investments publicly held shell company said acquired american nutrition works transaction american nutrition shareholders received shares nusource stock exchange shares american nutrition operates chain stores sellings vitamins health products nusource said shareholders elected board consisting richard trydahl samuel mineo charles flink voted change name company reuter 
8882,'acq',gencorp said decision general partners comprised industries wagner brown hostile offer company supports belief back offer announced yesterday financially superior alternative gencorp said would annouce details plans back stock billion dlrs dlrs share later week gencorps back made fend hostile billion share tender offer wagner brown earlier today wagner brown said without benefit additional information available gencorps management compete economically gencorps proposal group said ending tender offer gencorp promptly return tendering shareholders shares tendered pursuant offer group owns shares gencorps outstanding shares reuter 
6389,'acq',siemens sieg rebutted criticism blocking american telephone telegraph corps entry french telecommunications firm compagnie generale constructions telephoniques cgct management board member hans baur told journalists acquisition joint stake cgct philips gloeilampenfabrieken pglo decided years claimed french government owns cgct asked siemens start submit offer stake cgct result negotiations still open baur said siemens first made offer last summer handelsblatt newspaper today quoted chairman james olson saying siemens attempt stop philips could lead resurgence protectionism baur said expected french government decide winning april cgcts share french switchboard market amounts around french government limited cgct participation foreign companies price francs whole company bauer said limitation would apply initial stake rule stake increase later said siemens introduce technology bauer said siemens french telecommunications firm jeumont schneider submitted joint offer start march limitation companies form joint venture take whole cgct siemens stake company jeumont schneider apart investing francs modernisation cgct research centre also planned reuter 
11992,'acq',primerica corp said completed previously announced acquisition smith barney dlrs cash primerica changed name april american said smith barney harris upham wholly owned smith barney domestic overseas branch offices reuter 
8106,'acq',toshiba corp tsba said regrets plan enter business facsimile telephone market caught diplomatic position cable wireless plcs cawl japanese market britain considering retaliate japans attempt prevent cable wireless taking major position japanese international telecommunications venture matter timing regrettable linked question market access japan toshiba spokesman told reuters toshiba information systems toshiba subsidiary said yesterday planned enter market toshiba brand name applied government approval toshiba supplied equipment manufacturers sale brand names since last year toshiba spokesman said sale equipment comparable cable wireless efforts take stake japanese telecommunications firm matters different category said reuter 
1546,'acq',santa southern pacific corp later today formally interstate commerce commission reconsider earlier rejection merger holding companys railroad assets company spokesman said expect file papers late tonight asking reopen rail merger case spokesman rich hall said telephone interview companys chicago headquarters rejected july grounds would reduce competition merger santa southern pacific railroads deadline seeking reconsideration merger plan midnight tonight santa southern pacific owns santa railroad holds southern pacific railroad assets trust awaiting federal approval merger plan ordered holding company divest railroad stayed ruling pending decision request reconsideration ultimately decides reopen case expected reinstate divestiture order reuter 
10264,'acq',northair mines said would oppose quest resources incs earlier reported proposed takeover every means disposal saying attempt property grab insult intelligence shareholders said quests offer swap quest share plus northair shares would seriously dilute northairs equity willa mine british columbia company sound financial position production financing readily arranged required looking partner certainly wouldnt guys northair said reuter 
2141,'acq',national distillers chemical corp said completed sale almaden vineyards heublein dlrs heublein former subsidiary nabisco recently acquired grand metropolitan almaden based jose calif makes sells table wines champagnes brandies well premium wines charles lefranc cellars label reuter 
10625,'acq',petranol said discussing takeover unnamed company owned frenchman hubert perrodo exchange perrodo taking stake petranol said statement assets company acquired included substantial interest unspecified field torrance california five dlrs cash funding commitments petranol respect californian field petranols existing assets would included agreement petranol said deal would enhance presence increase capital secure availability development cash reuter 
1651,'acq',donaldson said reached agreement assets filter products division mine safety appliances undisclosed terms said filter products operate part donaldsons industrial group manufacturing operations relocated dixon evans city donaldson said acquisition complements microfiltration business internal research development efforts reuter 
2777,'acq',union pacific corp said sign pact caracas march petroleos venezuela pdvsa sell state owned company half corpus christi texas refinery owned union pacifics champlin petroleum subsidiary sale also include related marketing distribution system refinerys products spokesman company said statement issued later today giving details transaction immediate comment pdvsa officials york corpus christi refinery capacity barrels union pacific spokesman said largely upgraded facility would place value transaction additional acquisition refinery distribution assets pdvsa expected venezuela moving aggressively enhance role industry producer excpanding presence downstream sector purchase part champlins operations also fits profile pdvsa officials said previously looked acquisition pdvsa official said company looking independent companies good refinery distribution network strong regional presence potential purchase interest champlin followed earlier acquisition part interest southland corps citgo petroleum corp subsidiary agreement signed september pdvsa paid southland dlrs half citgos stock potetnital acquisition half champlins corpus christi plant also give venezuela additional outlet crude production giving refiner assured source supply trade sources said earlier deal southland pdvsa agredd supply citgo least crude feedstocks reuter 
11143,'acq',corporate life insurance west chester insurance firm told securities exchange commission acquired shares preferred stock piezo electric products total corporate insurance said bought cumulative convertible preferred stock stake dlrs investment purposes reuter 
11074,'acq',spectra physics said board rejected dlrs share unsolicited tender offer companys stock ciba geigy cigz already holds stock spectra physics said also filed lawsuit delaware federal court morning seeking enjoin offer alleging among things offer vilates federal securities laws certain agreements ciba geigy spectra physics ciba geigys fiduciary duties spectra physics said ciba geigy designess board present yesterdays special meeting voted reject offer financially inadequate unfair best interests spectra physics stockholders company said board also authorized special committee outside directors take whatever steps deems necessary protect interests spectra physics stockholders investigate alternatives maximize value stock including talks third parties spectra physics said letter communicating boards recommendation reasons therefore mailed stockholders said robert bruce reliance group holdings incs designee spectra physics board resigned position letter resignation said action alleviate ciba geigys stated justification making unsolicited offer contemplated another significant investor representation board spectra physics investment made reuter 
10491,'acq',admar group said agreed principle acquire selectcare management combination cash stock totaling dlrs selectcare based torrance calif manages alternative health care delivery systems admar said said company annual revenues dlrs reuter 
371,'acq',montedison moni said concluded negotiations spanish pharmaceuticals company antibioticos company spokesman told reuters concluded talks awaiting authorization spanish authorities declined comment earlier today italian company postponed scheduled press conference talks antibioticos italian press report today said montedison agreed acquire antibioticos billion lire reuter 
6715,'acq',industries said agreed acquire northwest federal savings loan association dlrs part agreement said also would transfer assets valued less dlrs northwest federal located woodward okla reuter 
7124,'acq',genova said shareholders approved merger genova products consumated within days agreement genova said shareholders receive dlrs share cash reuter 
8503,'acq',lloyds investment managers london based investment firm said raised stake italy fund shares total outstanding common stock shares filing securities exchange commission lloyds said bought additional italy fund common shares since november total dlrs another shares stake held affiliate said said dealings italy fund stock investment purposes current plans increase decrease current stake reuter 
11093,'acq',international said completed previously announced transactions involving grocery products businesses four asian countries ajinomoto ajin raising dlrs said receive dlrs later mostly month closings expected three countries proceeds used mostly debt reduction said ajinomoto purchased equity knorr foods joint venture japan companies fees trademark technology said ajinomoto also purchasing interests cpcs wholly owned subsidiaries hong kong malaysia philippines singapore taiwan thailand reuter 
3584,'acq',italian state bank istituto bancario paolo torino said fully owned paolo holding wilmington signed letter intent acquire valley national bank california paolo said statement subject obtaining official authorization relevant bodies would merge valley national bank subsidiary first angeles bank value planned acquisition disclosed reuter 
12051,'acq',group boston investors investment partnerships told securities exchange commission sold entire stake silicon systems shares total outstanding group includes associates associates three general partners said sold stock april june dlrs share result investment decision reuter 
4953,'acq',companies henceforth able stakes banks constitute dominant holding italian government committee ruled interministerial committee credit savings headed treasury minister giovanni goria said decision reflected need safeguard principle separation banks financial concerns quantify might constitute dominant holding committee also conditions allocation credits banks companies individuals holding stakes stipulates conditions bank italy could exercise powers control case stakes held banks companies banks ruling credits given banks subsidiaries groups individuals holding five banks capital must exceed defined limits value credits given exceed either fifth combined capital reserves bank fifths value stake owned bank group individual concerned exceptions conditions include credits concerns bank stake branches foreign banks credits made foreign companies banks subsidiaries legal base italy also excluded conditions bank italy request banks insert rules statutes ensure companies individuals holding five banks capital given privileged treatment regard credit allocation terms regard bank holdings companies bank italy exercise supervisory controls information banks consolidated activities show single shareholdings company another bank owned directly indirectly controls also exercised even stake held considered controlling interest controls exercised cases value banks stake concern lesser predefined limits limits billion lire total assets parent company shareholding bank reuter 
511,'acq',leucadia national corp said subsidiaries acquired stake minstar corporation controlled corporate raider irwin jacobs used forays acquire stock companies filing securities exchange commission leucadia said investments newark investment firm charter national life insurance louis joint stock life insurance company bought combined minstar common shares investment purposes leucadia subsidiaries held stake minstar shares last july since july leucadia said companies bought minstar common shares total dlrs leucadia said bought minstar stake obtain equity position company intention seeking control nearly half leucadias common stock owned associates salt lake city utah general partnership whose partners include chairman president leucadia investors reuter 
10398,'acq',first bank system said agreeed sell first bank lewiston subsidiary lewiston mont local bankers undisclosed terms first bank lewiston assets dlrs first quarter reuter 
3361,'acq',federal home loan bank board fhlbb announced acquisition home savings loan association seattle washington interwest savings bank harbour washington fhlbb said home savings troubled savings institution requiring federal action year said home savings assets dlrs assets interwest assets dlrs reuter 
11430,'acq',viacom international said district court southern district york denied motion carsey werner temporary injunction block proposed merger viacom subsidiary national amusements carsey werner producer cosby show reuter 
5872,'acq',fleet aerospace corp said agreed principle acquire assets operations engineered magnetics division gulton industries unit mark industries terms undisclosed angeles based engineered magnetics designs produces custom power conversion systems mainly defense aerospace industries revenues year ended february totaled canadian dlrs reuter 
1673,'acq',universal furniture said filing securities exchange commission increased stake bench craft common stock shares total outstanding universal said universal furniture industries unit bought bench craft shares march counter market reuter 
6978,'acq',mobil corps mobil francaise unit said take stake french butane propane distribution company primagaz exchange transfer primagaz mobils small medium bulk propane activity small medium bulk propane sales totalled tonnes transfer increase total business primagaz equal extra customers primagas spokesman said mobil take stake means capital increase terms established 
11622,'acq',australias ansett airlines exercise option acquire america west airlines awal dlrs ansett transport industries managing director peter abeles said exercise involving purchase three america west shares dlrs scheduled finalised july august said statement abeles said ansett would become largest single shareholder said fastest growing airline united states america west based phoenix arizona terms option agreement ansett would right maintain position event future stock sales could beyond unless requested america west abeles said america west would retain right first refusal ansett offered shares sale addition ansett would gain board seat said ansett transport industries wholly owns ansett airlines australias major domestic airlines turn owned abeles international transport group tnta rupert murdochs news corp ncpa reuter 
6002,'acq',united medical corp said reached definitive agreement sell hospital distribution unit myriad group undisclosed terms closing expected next several weeks reuter 
3875,'acq',group york investor michael steinhardt told securities exchange commission bought stake holiday corp common stock investment group said paid dlrs holiday shares bought since time group members said held short positions stock totaling shares addition steinhardt group includes steinhardt partners institutional partners investment firms steinhardt general partners reuter 
11109,'acq',stores said received proposals response previously announced solicitation potential buyers company company said evaluating proposals paul bilzerian third party active leveraged buyout field declined identify said bilzerian proposal calls shareholders receive blended basis dlrs cash dlrs liquidation value cumulative exchangeable redeemable preferred stock common share said second proposal structured merger holder would receive combination dlrs cash dlrs liquidation value cumulative preferred company said dividend preferred offered bilzerian would opinion financial advisor companys financial advisor preferred would trade public market liquidation value dividends preferred could paid option surviving corporation cash additional shares preferred first five years added said bilzerians proposal subject physical inventory merchandise june bilzerian provide details respect financing proposal subject financing condition company said dividends preferred offered second proposal would paid additional preferred first three years preferred would redeemed years said second offer contingent arrangement financing adding party making offer confident ability obtain balance financing said second proposal conditioned upon satisfactory agreement companys management regarding equity participation company second party anticipates executing letter intent delivers financing commitment board would incorporate expense reinbursement option arrangement company said reuter 
6500,'acq',first financial management corp said acquired confidata corp unit north ridge bank paying dlrs cash pledging guarantee confidata note held north ridge first financial provides data processing services community banks financial institutions said acquisition expand customer base reuter 
4871,'acq',swiss banker called obligatory continuous rating swiss franc bonds said believed anyone buying five company made declare share comments news conference vontobel holding chairman hans vontobel said believed banks self regulating bodies swiss admissions board take action governmental bodies stepped decline average quality borrowers swiss franc market debate registered shares prevent takeovers made major issues among bankers vontobel noted many borrowers already came market ratings major agencies readily available professionals specialised information systems make classification obligatory publish places easily accessible people said quick changing nature financial market meant ratings also continually updated said vontobel also noted recent years seen companies worried takeovers increasingly issuing registered shares participation certificates rather bearer shares however types issue drawback said recent attempt jacobs suchard jacz take hero conserven lenzburg herz shown limits pledge banks sell registered shares someone eligible according companys statutes excessive issue participation certificates carry voting rights would also contrary principle greater democracy share parliament people buying example five companys shares made declare purchase said reuter 
5430,'acq',takeover speculation buoyed wendys international incs stock even coca cola took fizz market rumors denying interested suitor wendys retreated earlier high lost point coca cola said rumors untrue however wendys remained volume three shares several analysts skeptical rumors said could conclude takeover fast food restaurant chain impossible wendys declined comment takeover rumors kinds wendys spokesman said company aware business week article named coke potential suitor market sources said helped ignite rumor mill market sources mentioned anheuser busch pepsico alternatives coke acquirers neither companies would comment would wendys official doesnt happen every every week every month unusual linked companies said denny lynch wendys vice president communications however lynch would comment specifically current market rumors even coke denied rumors analysts skeptical takeover since atlanta based coke stated views fast food chains customers want become competitor cant another name said kidder peabody analyst freedman vaguer rumors continued hold wendys stock well could someones interested freedman said doesnt believe right time wendys sold theyre obviously operational difficulties always believed right price wendys would consider offer cant believe right price right time freedman said transaction takes place buyers going control situation freedman said dont think theres anything going dont think worth much said joseph doyle smith barney analysts said wendys suffered largely burger wars mcdonalds corp pillsbury burger king chain wendys third largest fast food hamburger chain lost store sales last year analysts said wendys also fumbled introduced high priced breakfast since withdrawn analysts said analysts said company bringing products soon predict significant turnaround analysts however believe wendys vulnerable takeover james murren lawrence said wendys could worth dlrs break basis said company improved debt equity ratio wendys owns high percent restaurants also attractive leaseholds restaurants murren said murren said despite downturn sales last year wendys real sales store store turned upwards fourth quarter first time seven quarters said caroline levy hutton also believes something could going wendys feeling somethings going happen dont know said estimated takeover price would least dlrs share analyst speculated coke became rumored suitor wendys decided sell coke fountains instead pepsi wendys currently embroiled litigation brought pepsi holds contract company analysts said pepsis soda still sold wendys restaurants reuter 
1784,'acq',dumez investments said westburne international industries ltds outstanding common shares deposited takeover said received shares dlrs share offer expired yesterday dumez said proceed acquire remaining common shares give ownership westburne dumez private company owned jointly dumez unicorp canada corp reuter 
5654,'acq',claremont group york investment banking firm said intends boost current stake champion products much total outstanding common stock claremont added asked champion representatives nine member board directors claremont previously disclosed december agreed concert walsh greenwood affiliated investment firm acquire champion products claremont said made purchases champion products shares march march letter champion chairman john tanis claremont walsh representatives stephen walsh john cirigliano said pleased companys performance wanted take active management role believe champion products begun evolve market leader eventually become said significant shareholders mutual interests company would like actively participate process claremonts intentions letter made public filing federal securities exchange commission reuter 
4161,'acq',anacomp said acquired common stock datagraphix general dynamics corp dlrs said purchase financed combination bank credit agreement private placement senior subordinated notes convertible preferred stock datagraphix sales dlrs manufactures line computer output microfilm hardware supplie anacomps sales year ended sept dlrs reuter 
5583,'acq',merrill lynch holding talks acquiring canadian brokerage firms company spokesman told reuters said firms merrill lynch negotiating burns corp toronto already received offer security pacific corps owned hoare govett london based brokerage unit hoare govett valued dlrs spokesman said talks result change ontario securities laws takes effect june currently companies outside canadian securities industry prohibited owning canadian broker june foreign brokers allowed canadian brokers percentage rise year later reuter 
9638,'acq',clevite industries earlier received takeover offer industries said amended shareholder rights plan certain provisions plan occur board determines best interests company stockholders plan adopted december permits clevite issue shares half price existing stockholders allows stockholders shares unfriendly bidder half price clevite said amendments board effectively mean called flip flip provisions rights plan triggered affirmative board approval company said acted inview proposed acquisition certain debt restrictions could block ability redeem rights reuter 
3636,'acq',first bank system said found potential buyer first bank luverne office pipestone minnesota bank holding company said holding corporation controlled family late robert short first bank luverne bank dlrs assets first bank announced plans restructure banking assets offering sell banks total offices said agreements signed offices reuter 
12808,'acq',atlantis group said bought shares charter crellin common stock total outstanding seek control negotiated transaction filing securities exchange commission atlantis said informally discussed business combination charter crellin management company said held negotiations charter crellin intend initiate discussions pending development specific proposals atlantis said continue purchase additional charter crellin shares private open market transactions depending range factors including market price stock atlantis said bought charter crellin common stock open market transactions september october dlrs dlrs share total dlrs reuter 
8165,'acq',bancshares said completed acquisition first community bancshares tifton assets dlrs reuter 
447,'acq',rospatch corp said news release later response todays acquisition diagnostic retrieval systems dlrs share rospatch earlier requested stock halted counter trading last trade diagnostic said total dlrs cash tender offer less rosptach outstanding common fourth quarter ended december rospatch reported loss dlrs share compared loss profit period december brookehill group york said stake parini rospatch chief executive responded january eight saying investment vote confidence company reuter 
7243,'acq',peking owned china international trust investment corp citic bought unfinished city garden hotel hong kong subsidiary cheung kong holdings ckgh dlrs cheung kong director albert chow said cheung kongs subsidiary international city holdings complete work hotel handed citic deal include decoration fitting interior hotel room hotel stands site eastern side hong kong island reuter 
2483,'acq',american motors corp said directors wednesday review takeover proposal corporation received monday chrysler corp said board retained independent investment legal advisers expects meet periodically next several weeks proposal reuter 
3940,'acq',taft broadcasting stock rose almost three points today vice chairman investment group proposed sweeten takeover offer company however several arbitragers said would away stock current price levels since unclear high bidding company would whether company would agree takeover many uncertainties said arbitrager taft stock rose dudley taft taft vice chairman narragansett capital said sent letter taft board stating committed pursuing acquisition broadcast company prepared negotiate transaction excess dlrs share company responded proposal would submitted board directors decisions made sale company someones betting company dlrs share said arbitrager arbitragers said stock risky current levels unless offer accepted share range said make arbitrage investment level would chancy since take long time transaction completed regulatory approvals necessary broadcast properites taft earlier rejected share billion investment group company said rejected inadequate based advice goldman sachs financial adviser said would consider alternatives restructuring arbitragers speculated bidding erupt taft large shareholders investment group robert bass carl lindner chairman american financial corp bass group holds taft lindner holds taft family founded company almost years lindner last week told securities exchange commission interested making taft could things really crazy might dlrs share said arbitrager speculated probably would even taken price another speculated lindner might speculated investor would really interested running company lindner unavailable comment dennis mcalpine analyst oppenheimer said speculated company might considering leveraged buyout ideally youd break thing satisfy interests involved said adding largest shareholders might interested pieces taft said highest takeover price calculated company dlrs share highest estimates wall street said latter would based optimistic expectations broadcast industry reuter 
